short_display,population
Baringo,264978
Bomet,	382794
Bondo,	238780
Bungoma,	876491
Buret,	316882
Busia,	370608
Butere/Mumias,	476928
Embu,	278196
Garissa,	329939
Gucha,	460939
Homa Bay,	288540
Ijara,	62571		
Isiolo,	100861
Kajiado,	406054
Kakamega,	603422
Keiyo,	143865
Kericho,	468493
Kiambu,	744010
Kilifi,	544303
Kirinyaga,	457105
Kisii Central,491786
Kisumu, 504359
Kitui, 515422	
Koibatek,	138163
Kuria,	151887
Kwale,	496133
Laikipia,	322187
Lamu, 72686
Lugari,	215920
Machakos,	906644
Makueni,	771545
Malindi,	281552
Mandera,	250372
Maragua,	387969
Marakwet,	140629
Marsabit,	121478
Mbeere, 170953
Meru Central, 498880
Meru North, 604050
Meru South, 205451
Migori, 514897
Mombasa,	665018
Mount Elgon,	135033
Moyale,	53479
Murang'a, 348304
Mwingi, 303828
Nairobi,	2143254
Nakuru,	1187039
Nandi,	578751
Narok,	365750
Nyamira,	498102
Nyandarua,	479902
Nyando,	299930
Nyeri,	661156
Rachuonyo,307126
Samburu,	143547
Siaya,	480184
Suba,	155666
Taita, Taveta 246671
Tana River, 180901
Teso, 181491
Tharaka,	100992
Thika,	645713
Trans Mara, 170591
Trans Nzoia,	575662
Turkana,	450860
Uasin Gishu,	622705
Vihiga, 498883
Wajir,	319261
West Pokot, 308086